Cod_Dep;Cod_Mun;Nom_Mun
08;8001;BARRANQUILLA (CT)
15;15238;DUITAMA
85;85139;MANI
25;25001;BOGOTAÅ D.C. (CT)
70;70001;SINCELEJO (CT)
76;76001;CALI (CT)
76;76834;TULUA
41;41551;PITALITO
05;5308;GIRARDOTA
05;5360;ITAGUI
05;5380;LA ESTRELLA
05;5001;MEDELLIN (CT)
81;81001;ARAUCA (CT)
08;8758;SOLEDAD
08;8832;TUBARA
13;13001;CARTAGENA (CT)
15;15759;SOGAMOSO
17;1713;AGUADAS
17;17001;MANIZALES (CT)
17;17873;VILLAMARIA
18;18001;FLORENCIA (CT)
85;8510;AGUAZUL
19;19001;POPAYAN (CT)
19;19698;SANTANDER DE QUILICHAO
20;20001;VALLEDUPAR (CT)
27;27001;QUIBDO (CT)
23;23001;MONTERIA (CT)
25;25290;FUSAGASUGA
25;25754;SOACHA
41;41396;LA PLATA
41;41001;NEIVA (CT)
41;41660;SALADOBLANCO
41;41668;SAN AGUST√çN
41;41801;TERUEL
47;47245;EL BANCO
47;47001;SANTA MARTA (CT)
50;50006;ACACIAS
50;50150;CASTILLA LA NUEVA
50;50350;LA MACARENA
50;50001;VILLAVICENCIO (CT)
52;52356;IPIALES
52;52001;PASTO (CT)
52;52838;TUQUERRES
54;5499;BOCHALEMA
54;54001;CUCUTA (CT)
54;54480;MUTISCUA
86;86749;SIBUNDOY
66;66170;DOSQUEBRADAS
66;66400;LA VIRGINIA
66;66001;PEREIRA (CT)
66;66682;SANTA ROSA DE CABAL
68;6881;BARRANCABERMEJA
68;68001;BUCARAMANGA (CT)
68;68276;FLORIDABLANCA
68;68307;GIRON
68;68464;MOGOTES
68;68547;PIEDECUESTA
68;68755;SOCORRO
70;70742;SAN LUIS DE SINCE
70;70820;SANTIAGO DE TOLU
73;73001;IBAGUE(CT)
76;76113;BUGALAGRANDE
76;76233;DAGUA
76;76248;EL CERRITO
76;76364;JAMUNDI
76;76520;PALMIRA
76;76736;SEVILLA
76;76892;YUMBO
13;13442;MAR√çA LA BAJA
41;41615;RIVERA
97;97001;MITU (CT)
17;1742;ANSERMA
05;5172;CHIGORODO
15;15176;CHIQUINQUIRA
47;47570;PUEBLOVIEJO
50;50400;LEJANIAS
54;54498;OCA—A
68;68167;CHARALA
76;76126;CALIMA
76;76111;GUADALAJARA DE BUGA
41;41797;TESALIA
15;15001;TUNJA (CT)
15;15861;VENTAQUEMADA
50;50573;PUERTO LOPEZ
54;54810;TIBU
68;68190;CIMITARRA
68;68418;LOS SANTOS
76;76122;CAICEDONIA
85;85001;YOPAL (CT)
70;70713;SAN ONOFRE
05;5642;SALGAR
08;8421;LURUACO
25;25307;GIRARDOT
54;54518;PAMPLONA
70;70215;COROZAL
70;70702;SAN JUAN DE BETULIA
73;73675;SAN ANTONIO
76;76616;RIOFRIO
76;76622;ROLDANILLO
95;95001;SAN JOSE DEL GUAVIARE (CT)
08;878;BARANOA
17;17380;LA DORADA
85;85263;PORE
20;2011;AGUACHICA
25;25260;EL ROSAL
44;44430;MAICAO
86;86885;VILLAGARZON
68;6851;ARATOCA
68;68689;SAN VICENTE DE CHUCURI
70;70265;GUARANDA
70;70670;SAMPUES
76;76109;BUENAVENTURA
15;15189;CIENEGA
15;15299;GARAGOA
85;85410;TAURAMENA
